PSO,FFA,GE,DE,
-3112.12,-2931.96,-4179.33,-4047.45,
634.078,977.342,2.2954,0.00929821,
1.09191e+07,9.43372e+06,1472.06,23.9296,
-1887.37,-1852.45,-1993.76,-1979.45,
0,7.03467,0.940292,0.591881,
-11.2936,-11.6974,-13.2888,-11.9849,
22.4593,20.8684,4.45342,3.3955,
22.2177,21.3697,-27.1399,-23.4679,
90.4306,84.7366, 9.22959,0.415718,
-4971.69,-4040.96,-7226.76,-5012.64,
-2878.18,-2560.29, -3826.24,-2547.82,
0.0394411,2.3039,0.431647,2.4289,
-6.4844,-5.61856,-9.52931,-7.95672,
-5.91884,-2.22283,-6.80637,-3.57452,
-0.340069,-0.160594,-9.44822,-1.57208
